# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
predominantly	3.4613	0.105	0.003	4	16
switzerland	3.3815	0.237	0.008	9	39
zealand	3.3661	0.132	0.005	5	22
norway	3.3597	0.184	0.006	7	31
poland	3.3437	0.158	0.006	6	27
greece	3.2722	0.158	0.006	6	29
sweden	3.1738	0.158	0.007	6	32
hungary	3.1430	0.105	0.005	4	22
italian	3.1087	0.342	0.015	13	74
netherlands	2.9954	0.211	0.011	8	51
guinea	2.9915	0.132	0.007	5	32
1964	2.9309	0.132	0.007	5	34
austria	2.9019	0.132	0.007	5	35
peru	2.9018	0.105	0.006	4	28
mexico	2.8668	0.105	0.006	4	29
italy	2.6788	0.211	0.014	8	70
brazil	2.6787	0.105	0.007	4	35
korea	2.5060	0.132	0.011	5	52
mostly	2.2829	0.132	0.013	5	65
germany	2.2720	0.184	0.019	7	92
france	2.1911	0.211	0.024	8	114
africa	2.1566	0.105	0.012	4	59
1988	2.1566	0.105	0.012	4	59
canada	2.1398	0.132	0.015	5	75
democratic	2.0753	0.105	0.013	4	64
website	2.0294	0.105	0.014	4	67
spain	2.0000	0.105	0.014	4	69
1997	1.9762	0.158	0.022	6	106
named	1.6909	0.105	0.019	4	94
republic	1.6838	0.158	0.029	6	142
ireland	1.6158	0.158	0.031	6	152
french	1.5821	0.132	0.027	5	131
south	1.5005	0.184	0.041	7	199
india	1.4302	0.105	0.025	4	122
china	1.3900	0.105	0.026	4	127
kingdom	1.3438	0.105	0.027	4	133
central	1.2037	0.105	0.032	4	153
european	1.1998	0.132	0.040	5	192
official	1.0867	0.105	0.036	4	172
2005	1.0193	0.211	0.076	8	368
2003	0.9510	0.105	0.041	4	197
2004	0.7875	0.105	0.048	4	232
japan	0.7875	0.105	0.048	4	232
2002	0.7789	0.105	0.048	4	234
countries	0.7619	0.105	0.049	4	238
list	0.7127	0.105	0.052	4	250
law	0.6774	0.105	0.053	4	259
common	0.6507	0.105	0.055	4	266
image	0.5673	0.184	0.104	7	506
later	0.5506	0.105	0.061	4	294
international	0.3426	0.158	0.112	6	543
after	0.3189	0.158	0.115	6	556
united	0.1402	0.132	0.114	5	554
new	0.1100	0.132	0.118	5	571
states	0.1065	0.132	0.118	5	573

# Cluster 7 (n=34)
word	score	p_in	p_out	in_docs	out_docs
sutton	5.2460	0.118	0.001	4	3
univ	4.9588	0.118	0.001	4	4
eds	4.9588	0.118	0.001	4	4
press	3.9614	0.824	0.016	28	76
samuel	3.4556	0.118	0.004	4	18
cambridge	3.4092	0.206	0.007	7	33
guide	3.3504	0.206	0.007	7	35
oxford	3.3504	0.176	0.006	6	30
ethnic	3.2370	0.147	0.006	5	28
1965	3.2019	0.147	0.006	5	29
andrew	3.1680	0.118	0.005	4	24
paul	3.0771	0.206	0.009	7	46
translation	2.9317	0.147	0.008	5	38
texts	2.9121	0.118	0.006	4	31
1984	2.8985	0.206	0.011	7	55
david	2.8944	0.265	0.015	9	71
edition	2.8804	0.206	0.012	7	56
harvard	2.8496	0.118	0.007	4	33
cite	2.8198	0.118	0.007	4	34
university	2.7909	0.706	0.043	24	210
thomas	2.7851	0.147	0.009	5	44
henry	2.7813	0.176	0.011	6	53
michael	2.7263	0.176	0.012	6	56
1996	2.7011	0.206	0.014	7	67
1991	2.6826	0.235	0.016	8	78
1985	2.6826	0.118	0.008	4	39
1990	2.6431	0.206	0.015	7	71
dublin	2.6326	0.118	0.008	4	41
1999	2.6033	0.265	0.020	9	95
york	2.5620	0.294	0.023	10	110
1994	2.5620	0.176	0.014	6	66
chicago	2.5620	0.118	0.009	4	44
william	2.5507	0.235	0.018	8	89
immigration	2.5175	0.118	0.009	4	46
1988	2.5089	0.147	0.012	5	58
joseph	2.4960	0.118	0.010	4	47
1992	2.4262	0.147	0.013	5	63
1993	2.4104	0.147	0.013	5	64
introduction	2.4104	0.147	0.013	5	64
1989	2.4104	0.147	0.013	5	64
1997	2.3950	0.235	0.021	8	104
london	2.3822	0.176	0.016	6	79
publications	2.3572	0.118	0.011	4	54
1998	2.3090	0.176	0.018	6	85
richard	2.2353	0.118	0.013	4	61
2003	2.2031	0.353	0.039	12	189
america	2.1952	0.235	0.026	8	127
institute	2.1873	0.147	0.017	5	80
history	2.1092	0.588	0.071	20	346
sources	2.0977	0.118	0.014	4	70
robert	2.0920	0.147	0.018	5	88
john	2.0883	0.353	0.044	12	212
books	2.0512	0.176	0.023	6	110
james	2.0383	0.206	0.027	7	130
primary	2.0287	0.118	0.015	4	75
2000	1.9859	0.206	0.028	7	137
2001	1.9642	0.176	0.025	6	120
text	1.9395	0.235	0.034	8	164
cross	1.8919	0.118	0.018	4	86
committee	1.7819	0.118	0.020	4	96
culture	1.6828	0.118	0.022	4	106
society	1.6765	0.176	0.033	6	160
book	1.6536	0.206	0.039	7	191
american	1.6053	0.324	0.065	11	315
published	1.5858	0.147	0.030	5	146
new	1.4670	0.500	0.115	17	559
2005	1.4579	0.324	0.075	11	365
irish	1.4161	0.147	0.036	5	173
life	1.4046	0.176	0.043	6	210
further	1.3093	0.118	0.032	4	154
2002	1.3050	0.176	0.048	6	232
japanese	1.2104	0.118	0.035	4	170
english	1.1682	0.176	0.055	6	266
2004	1.1270	0.147	0.048	5	231
power	1.0835	0.118	0.040	4	193
times	1.0784	0.118	0.040	4	194
modern	0.8450	0.118	0.051	4	245
year	0.7741	0.118	0.054	4	263
war	0.7653	0.176	0.082	6	398
century	0.6973	0.118	0.059	4	284
world	0.4546	0.176	0.112	6	543
international	0.4546	0.176	0.112	6	543
united	0.2522	0.147	0.114	5	554
states	0.2185	0.147	0.118	5	573

# Cluster 8 (n=74)
word	score	p_in	p_out	in_docs	out_docs
infinitives	11.7087	0.122	0.000	9	0
verbs	6.0434	0.176	0.000	13	2
infinitive	5.7818	0.203	0.001	15	3
noun	5.2716	0.203	0.001	15	5
vowel	5.0891	0.135	0.001	10	4
verb	5.0490	0.324	0.002	24	10
consonant	4.5300	0.135	0.001	10	7
plural	3.8859	0.122	0.002	9	12
sentence	3.6881	0.108	0.003	8	13
ending	3.4806	0.162	0.005	12	24
ipa	3.4806	0.122	0.004	9	18
ido	3.0478	0.162	0.008	12	37
dialects	3.0424	0.135	0.006	10	31
esperanto	2.9698	0.122	0.006	9	30
grammar	2.9371	0.122	0.006	9	31
vocabulary	2.9053	0.122	0.007	9	32
words	2.8240	0.284	0.017	21	81
word	2.7629	0.405	0.026	30	123
becomes	2.7568	0.108	0.007	8	33
speakers	2.4999	0.122	0.010	9	48
languages	2.4092	0.338	0.030	25	146
except	2.2570	0.135	0.014	10	68
latin	2.2280	0.149	0.016	11	77
object	2.1929	0.108	0.012	8	58
english	2.1591	0.432	0.050	32	240
she	2.0017	0.122	0.016	9	79
etc	1.9992	0.135	0.018	10	88
spanish	1.9168	0.122	0.018	9	86
greek	1.8967	0.108	0.016	8	78
meaning	1.7760	0.122	0.021	9	99
french	1.7435	0.149	0.026	11	125
simply	1.7316	0.108	0.019	8	92
language	1.7182	0.392	0.070	29	338
person	1.7143	0.135	0.024	10	117
subject	1.6707	0.122	0.023	9	110
written	1.6562	0.135	0.026	10	124
irish	1.6330	0.176	0.034	13	165
you	1.6160	0.149	0.030	11	142
forms	1.5438	0.108	0.023	8	111
uses	1.4743	0.108	0.025	8	119
present	1.4659	0.122	0.028	9	135
generally	1.4549	0.162	0.038	12	182
case	1.4549	0.162	0.038	12	182
rather	1.3767	0.135	0.034	10	164
used	1.3027	0.554	0.151	41	724
like	1.2906	0.216	0.059	16	286
form	1.2616	0.203	0.057	15	276
either	1.2428	0.108	0.031	8	150
using	1.2376	0.176	0.051	13	245
usually	1.2339	0.162	0.047	12	227
example	1.2035	0.270	0.081	20	390
common	1.1898	0.176	0.053	13	257
use	1.1860	0.351	0.107	26	516
often	1.1584	0.270	0.085	20	408
sometimes	1.1562	0.122	0.038	9	184
way	1.1381	0.149	0.048	11	229
does	1.0298	0.135	0.048	10	232
main	1.0134	0.162	0.059	12	283
same	0.8983	0.176	0.072	13	344
make	0.8968	0.108	0.044	8	212
though	0.8507	0.108	0.046	8	222
different	0.8289	0.149	0.065	11	312
although	0.7896	0.135	0.061	10	295
modern	0.7686	0.108	0.050	8	241
very	0.7617	0.122	0.057	9	273
part	0.7139	0.149	0.073	11	350
has	0.6882	0.459	0.231	34	1110
before	0.6842	0.122	0.061	9	295
some	0.6464	0.324	0.170	24	817
those	0.6151	0.108	0.058	8	281
much	0.6115	0.108	0.059	8	282
may	0.6080	0.216	0.118	16	566
will	0.6032	0.149	0.081	11	391
another	0.5767	0.108	0.061	8	292
can	0.5742	0.297	0.167	22	805
where	0.5680	0.149	0.084	11	405
than	0.5646	0.230	0.131	17	628
other	0.5602	0.378	0.216	28	1039
but	0.5315	0.365	0.214	27	1031
while	0.5233	0.135	0.080	10	385
between	0.5159	0.189	0.113	14	543
see	0.5044	0.230	0.139	17	667
made	0.4795	0.122	0.075	9	362
all	0.4756	0.284	0.176	21	848
many	0.4727	0.243	0.152	18	729
based	0.4634	0.108	0.068	8	327
such	0.4507	0.270	0.172	20	828
after	0.4308	0.176	0.114	13	549
there	0.4224	0.230	0.151	17	724
however	0.4178	0.189	0.125	14	599
when	0.4012	0.189	0.127	14	609
well	0.3923	0.122	0.082	9	395
one	0.3865	0.284	0.193	21	927
most	0.3797	0.243	0.166	18	800
out	0.3563	0.108	0.076	8	364
number	0.3367	0.135	0.097	10	464
both	0.3309	0.122	0.087	9	420
known	0.2844	0.122	0.092	9	440
also	0.2829	0.365	0.275	27	1322
because	0.2796	0.108	0.082	8	393
two	0.2749	0.189	0.144	14	691
more	0.2595	0.216	0.167	16	802
only	0.2562	0.189	0.146	14	704
would	0.2520	0.135	0.105	10	505
called	0.2084	0.108	0.088	8	422
any	0.1735	0.108	0.091	8	437
they	0.1563	0.189	0.162	14	778
these	0.1486	0.176	0.151	13	728

# Cluster 9 (n=379)
word	score	p_in	p_out	in_docs	out_docs
microsoft	3.1939	0.103	0.004	39	19
bit	3.1277	0.193	0.008	73	38
windows	3.1166	0.100	0.004	38	20
processor	3.0103	0.108	0.005	41	24
software	2.8893	0.148	0.008	56	37
ibm	2.8687	0.113	0.006	43	29
operating	2.7625	0.106	0.007	40	30
intel	2.6919	0.108	0.007	41	33
protocol	2.5619	0.158	0.012	60	55
architecture	2.4489	0.100	0.009	38	39
network	2.4208	0.142	0.013	54	57
address	2.4093	0.156	0.014	59	63
user	2.3831	0.137	0.013	52	57
computer	2.0737	0.208	0.026	79	118
iso	2.0023	0.127	0.017	48	77
data	1.9985	0.203	0.028	77	124
code	1.9530	0.142	0.020	54	91
internet	1.9488	0.206	0.029	78	132
version	1.7128	0.129	0.023	49	105
standard	1.6640	0.179	0.034	68	153
line	1.5638	0.103	0.022	39	97
single	1.5428	0.132	0.028	50	127
set	1.4659	0.185	0.043	70	192
available	1.4453	0.106	0.025	40	112
using	1.4071	0.174	0.043	66	192
systems	1.3825	0.142	0.036	54	161
original	1.3763	0.116	0.029	44	132
control	1.3094	0.140	0.038	53	170
use	1.1959	0.311	0.094	118	424
support	1.1897	0.103	0.031	39	141
used	1.1370	0.420	0.135	159	606
each	1.0852	0.190	0.064	72	289
system	1.0685	0.259	0.089	98	400
number	1.0513	0.243	0.085	92	382
like	0.9505	0.142	0.055	54	248
same	0.9345	0.166	0.065	63	294
usually	0.9003	0.108	0.044	41	198
example	0.8945	0.185	0.076	70	340
can	0.8048	0.346	0.155	131	696
end	0.8040	0.108	0.048	41	218
based	0.8033	0.140	0.063	53	282
different	0.7294	0.127	0.061	48	275
information	0.7000	0.106	0.052	40	236
common	0.6961	0.103	0.051	39	231
could	0.6585	0.106	0.055	40	246
since	0.6215	0.145	0.078	55	351
later	0.6109	0.106	0.057	40	258
most	0.5703	0.280	0.158	106	712
will	0.5683	0.137	0.078	52	350
including	0.5566	0.111	0.064	42	286
called	0.5554	0.145	0.083	55	375
well	0.5177	0.132	0.079	50	354
these	0.5088	0.240	0.144	91	650
time	0.5017	0.190	0.115	72	518
any	0.4952	0.142	0.087	54	391
one	0.4949	0.303	0.185	115	833
such	0.4852	0.269	0.166	102	746
first	0.4785	0.240	0.149	91	670
more	0.4690	0.256	0.160	97	721
all	0.4685	0.272	0.170	103	766
but	0.4649	0.330	0.207	125	933
only	0.4537	0.222	0.141	84	634
some	0.4492	0.259	0.165	98	743
two	0.4471	0.216	0.138	82	623
may	0.4355	0.177	0.114	67	515
then	0.4327	0.127	0.082	48	370
when	0.4241	0.187	0.123	71	552
where	0.4143	0.124	0.082	47	369
than	0.4007	0.190	0.127	72	573
because	0.3814	0.116	0.079	44	357
while	0.3725	0.113	0.078	43	352
would	0.3713	0.148	0.102	56	459
made	0.3617	0.106	0.074	40	331
also	0.3427	0.377	0.268	143	1206
both	0.3310	0.119	0.085	45	384
many	0.3259	0.206	0.149	78	669
being	0.2979	0.103	0.076	39	344
however	0.2904	0.164	0.122	62	551
often	0.2829	0.113	0.085	43	385
its	0.2694	0.245	0.187	93	844
into	0.2263	0.156	0.124	59	559
has	0.2242	0.288	0.230	109	1035
over	0.2070	0.132	0.107	50	483
other	0.2059	0.264	0.215	100	967
there	0.1827	0.179	0.149	68	673
known	0.1501	0.106	0.091	40	409
been	0.1382	0.190	0.165	72	745
they	0.1257	0.182	0.161	69	723
new	0.1217	0.132	0.117	50	526
were	0.0839	0.211	0.194	80	874
see	0.0578	0.148	0.139	56	628
had	0.0309	0.132	0.128	50	576

# Cluster 10 (n=97)
word	score	p_in	p_out	in_docs	out_docs
afc	11.7257	0.124	0.000	12	0
playoffs	11.7257	0.124	0.000	12	0
flagicon	11.7257	0.124	0.000	12	0
nfl	6.2475	0.216	0.000	21	2
roma	6.1964	0.103	0.000	10	1
calcio	6.1964	0.103	0.000	10	1
colts	5.6465	0.237	0.001	23	4
juventus	5.6009	0.113	0.000	11	2
baltimore	4.7731	0.124	0.001	12	5
championship	4.1393	0.144	0.002	14	11
mike	4.0034	0.103	0.002	10	9
football	3.8983	0.247	0.005	24	24
milan	3.8241	0.134	0.003	13	14
season	3.6470	0.216	0.006	21	27
1968	3.6358	0.103	0.003	10	13
internazionale	3.5618	0.155	0.004	15	21
player	3.4928	0.103	0.003	10	15
argentina	3.4629	0.113	0.004	11	17
1959	3.4388	0.124	0.004	12	19
1972	3.3875	0.124	0.004	12	20
team	3.3656	0.278	0.010	27	46
indianapolis	3.3105	0.103	0.004	10	18
match	3.2564	0.103	0.004	10	19
club	3.2517	0.113	0.004	11	21
1974	3.1607	0.113	0.005	11	23
hall	3.1252	0.124	0.005	12	26
1953	3.1099	0.103	0.005	10	22
players	3.0654	0.103	0.005	10	23
1973	3.0004	0.113	0.006	11	27
1982	2.9976	0.134	0.007	13	32
1964	2.9641	0.113	0.006	11	28
1969	2.9290	0.113	0.006	11	29
won	2.8726	0.196	0.011	19	53
1978	2.7352	0.103	0.007	10	32
1970	2.6587	0.113	0.008	11	38
1984	2.5716	0.134	0.010	13	49
italy	2.5439	0.165	0.013	16	62
1981	2.4633	0.103	0.009	10	42
paul	2.4398	0.103	0.009	10	43
record	2.4251	0.113	0.010	11	48
1986	2.3724	0.103	0.010	10	46
game	2.3025	0.155	0.015	15	74
1983	2.2890	0.113	0.011	11	55
1980	2.2890	0.103	0.010	10	50
1995	2.2890	0.103	0.010	10	50
conference	2.1532	0.113	0.013	11	63
building	2.1375	0.113	0.013	11	64
england	2.0659	0.165	0.021	16	100
league	2.0059	0.113	0.015	11	73
lost	2.0059	0.113	0.015	11	73
1997	1.7782	0.124	0.021	12	100
1999	1.7638	0.113	0.019	11	93
former	1.6212	0.124	0.024	12	117
york	1.5006	0.103	0.023	10	110
top	1.4856	0.124	0.028	12	134
john	1.3990	0.175	0.043	17	207
