# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
actor	2.6560	0.100	0.007	4	34
films	2.6149	0.175	0.013	7	62
novels	2.5769	0.125	0.010	5	46
love	2.5769	0.125	0.010	5	46
1984	2.5625	0.150	0.012	6	56
2001	2.5449	0.300	0.024	12	114
novel	2.5374	0.175	0.014	7	67
literature	2.5374	0.175	0.014	7	67
video	2.5274	0.150	0.012	6	58
band	2.5188	0.100	0.008	4	39
man	2.5138	0.250	0.020	10	98
game	2.4811	0.200	0.017	8	81
fleming	2.4447	0.100	0.009	4	42
1999	2.4395	0.225	0.020	9	95
2000	2.3983	0.300	0.027	12	132
1988	2.3451	0.125	0.012	5	58
ian	2.3112	0.125	0.012	5	60
1983	2.2947	0.125	0.013	5	61
james	2.2546	0.250	0.026	10	127
1989	2.2467	0.125	0.013	5	64
story	2.2409	0.200	0.021	8	103
1986	2.2312	0.100	0.011	4	52
1991	2.2059	0.150	0.017	6	80
bond	2.1777	0.175	0.020	7	96
1990	2.1151	0.125	0.015	5	73
play	2.1151	0.125	0.015	5	73
king	2.0881	0.150	0.019	6	90
david	2.0881	0.125	0.015	5	75
richard	2.0716	0.100	0.013	4	61
played	2.0553	0.100	0.013	4	62
mission	2.0553	0.100	0.013	4	62
2003	2.0393	0.300	0.039	12	189
released	1.9512	0.125	0.018	5	86
red	1.9151	0.150	0.022	6	107
short	1.8172	0.150	0.024	6	118
young	1.8105	0.125	0.020	5	99
role	1.7921	0.150	0.025	6	121
2004	1.7780	0.275	0.046	11	225
features	1.7612	0.125	0.021	5	104
john	1.7328	0.250	0.044	10	214
action	1.6871	0.125	0.023	5	112
2002	1.6694	0.250	0.047	10	228
series	1.5888	0.175	0.036	7	173
show	1.5773	0.100	0.021	4	100
never	1.5693	0.125	0.026	5	126
real	1.5536	0.125	0.026	5	128
day	1.3894	0.150	0.037	6	181
mdash	1.2351	0.125	0.036	5	176
2005	1.1961	0.250	0.076	10	366
death	1.1853	0.100	0.031	4	148
you	1.1785	0.100	0.031	4	149
developed	1.1011	0.100	0.033	4	161
three	0.9603	0.150	0.057	6	278
book	0.9146	0.100	0.040	4	194
name	0.8259	0.150	0.066	6	318
world	0.8091	0.250	0.111	10	539
his	0.7805	0.325	0.149	13	721
another	0.7187	0.125	0.061	5	295
out	0.6853	0.150	0.076	6	366
set	0.6295	0.100	0.053	4	258
2006	0.5559	0.175	0.100	7	486
being	0.4707	0.125	0.078	5	378
new	0.2423	0.150	0.118	6	570
who	0.2045	0.150	0.122	6	592
has	0.1615	0.275	0.234	11	1133
both	0.1304	0.100	0.088	4	425
people	0.1234	0.100	0.088	4	428
also	0.0829	0.300	0.276	12	1337
about	0.0426	0.100	0.096	4	464
two	0.0383	0.150	0.144	6	699
one	0.0298	0.200	0.194	8	940

# Cluster 14 (n=98)
word	score	p_in	p_out	in_docs	out_docs
gaeltacht	4.3981	0.102	0.001	10	6
linguistic	4.1106	0.102	0.002	10	8
spoken	3.9749	0.245	0.005	24	22
speakers	3.9230	0.296	0.006	29	28
inuit	3.7336	0.122	0.003	12	14
dialects	3.6427	0.184	0.005	18	23
gaelic	3.5513	0.102	0.003	10	14
vocabulary	3.4416	0.163	0.005	16	25
indo	3.4024	0.163	0.005	16	26
variants	3.3572	0.102	0.004	10	17
dialect	3.3282	0.122	0.004	12	21
grammar	3.0406	0.122	0.006	12	28
languages	3.0043	0.510	0.025	50	121
alphabet	2.8846	0.112	0.006	11	30
speaking	2.8583	0.153	0.009	15	42
native	2.6781	0.173	0.012	17	57
language	2.6423	0.837	0.060	82	285
latin	2.4585	0.173	0.015	17	71
irish	2.3316	0.316	0.031	31	147
english	2.3221	0.480	0.047	47	225
ireland	2.1183	0.235	0.028	23	135
words	2.0497	0.143	0.018	14	88
european	2.0481	0.276	0.036	27	170
greek	1.9684	0.112	0.016	11	75
widely	1.9552	0.112	0.016	11	76
spanish	1.8551	0.112	0.018	11	84
official	1.8339	0.204	0.033	20	156
northern	1.7095	0.122	0.022	12	106
republic	1.5477	0.133	0.028	13	135
word	1.5113	0.133	0.029	13	140
according	1.4490	0.133	0.031	13	149
europe	1.4385	0.122	0.029	12	139
british	1.3990	0.204	0.050	20	241
sometimes	1.3397	0.143	0.037	14	179
areas	1.2853	0.102	0.028	10	135
north	1.2792	0.122	0.034	12	163
standard	1.1944	0.143	0.043	14	207
000	1.1912	0.122	0.037	12	178
among	1.1752	0.143	0.044	14	211
western	1.1501	0.112	0.036	11	170
include	1.1380	0.143	0.046	14	219
different	1.1155	0.194	0.064	19	304
japanese	1.0908	0.102	0.034	10	164
although	1.0583	0.173	0.060	17	288
still	1.0382	0.143	0.051	14	242
term	1.0027	0.112	0.041	11	197
government	0.9355	0.133	0.052	13	249
main	0.8888	0.143	0.059	14	281
non	0.8676	0.122	0.051	12	246
around	0.8676	0.102	0.043	10	205
people	0.8628	0.204	0.086	20	412
while	0.8462	0.184	0.079	18	377
based	0.8278	0.153	0.067	15	320
both	0.8163	0.194	0.086	19	410
use	0.8161	0.245	0.108	24	518
called	0.8139	0.194	0.086	19	411
other	0.8107	0.480	0.213	47	1020
very	0.7745	0.122	0.056	12	270
early	0.7598	0.122	0.057	12	274
used	0.7567	0.327	0.153	32	733
part	0.7497	0.153	0.072	15	346
american	0.7068	0.133	0.065	13	313
second	0.7058	0.102	0.050	10	241
often	0.7027	0.173	0.086	17	411
including	0.7004	0.133	0.066	13	315
now	0.6976	0.102	0.051	10	243
those	0.6583	0.112	0.058	11	278
some	0.6580	0.327	0.169	32	809
there	0.6508	0.286	0.149	28	713
these	0.6508	0.286	0.149	28	713
several	0.6405	0.112	0.059	11	283
name	0.6300	0.122	0.065	12	312
but	0.6250	0.398	0.213	39	1019
international	0.6128	0.204	0.111	20	529
many	0.5655	0.265	0.151	26	721
well	0.5610	0.143	0.082	14	390
most	0.5482	0.286	0.165	28	790
has	0.5440	0.398	0.231	39	1105
known	0.5231	0.153	0.091	15	434
been	0.5119	0.276	0.165	27	790
however	0.4986	0.204	0.124	20	593
who	0.4712	0.194	0.121	19	579
more	0.3890	0.245	0.166	24	794
see	0.3855	0.204	0.139	20	664
into	0.3815	0.184	0.125	18	600
system	0.3450	0.143	0.101	14	484
only	0.3356	0.204	0.146	20	698
may	0.3221	0.163	0.118	16	566
world	0.3157	0.153	0.112	15	534
since	0.3071	0.112	0.083	11	395
two	0.3016	0.194	0.143	19	686
between	0.3008	0.153	0.113	15	542
over	0.2752	0.143	0.108	14	519
being	0.2691	0.102	0.078	10	373
all	0.2374	0.224	0.177	22	847
than	0.2165	0.163	0.131	16	629
example	0.1992	0.102	0.084	10	400
where	0.1843	0.102	0.085	10	406
also	0.1707	0.327	0.275	32	1317
united	0.1504	0.133	0.114	13	546
one	0.1482	0.224	0.194	22	926
number	0.1482	0.112	0.097	11	463
state	0.0903	0.102	0.093	10	446
its	0.0627	0.204	0.192	20	917
can	0.0242	0.173	0.169	17	810

# Cluster 15 (n=39)
word	score	p_in	p_out	in_docs	out_docs
impacts	4.6386	0.128	0.001	5	6
policymakers	4.4155	0.103	0.001	4	6
exercise	3.4865	0.128	0.004	5	19
ipcc	3.3552	0.154	0.005	6	26
executive	3.1566	0.179	0.008	7	37
climate	3.0115	0.231	0.011	9	55
summary	2.9970	0.128	0.006	5	31
balance	2.9890	0.103	0.005	4	25
topics	2.8475	0.128	0.007	5	36
global	2.7284	0.231	0.015	9	73
settlements	2.7114	0.103	0.007	4	33
meeting	2.6815	0.103	0.007	4	34
promote	2.6815	0.103	0.007	4	34
chapter	2.6244	0.103	0.007	4	36
activities	2.6061	0.154	0.011	6	55
persons	2.5599	0.128	0.010	5	48
documents	2.5443	0.103	0.008	4	39
studies	2.2190	0.154	0.017	6	81
governments	2.2190	0.103	0.011	4	54
working	2.2032	0.179	0.020	7	96
change	2.1437	0.231	0.027	9	131
management	2.1136	0.103	0.012	4	60
report	2.1026	0.154	0.019	6	91
changes	2.0808	0.154	0.019	6	93
israel	1.9739	0.103	0.014	4	69
human	1.8950	0.231	0.035	9	168
peace	1.8905	0.103	0.015	4	75
key	1.8013	0.103	0.017	4	82
parties	1.7891	0.103	0.017	4	83
land	1.7536	0.154	0.027	6	129
health	1.7421	0.103	0.018	4	87
members	1.6917	0.205	0.038	8	183
areas	1.6790	0.154	0.029	6	139
member	1.6775	0.128	0.024	5	116
basis	1.6754	0.103	0.019	4	93
related	1.6647	0.154	0.029	6	141
natural	1.6367	0.154	0.030	6	145
policy	1.5830	0.103	0.021	4	102
evidence	1.5540	0.103	0.022	4	105
systems	1.4301	0.179	0.043	7	208
view	1.3958	0.103	0.025	4	123
organization	1.3497	0.128	0.033	5	161
include	1.3471	0.179	0.047	7	226
research	1.3435	0.128	0.033	5	162
security	1.3328	0.103	0.027	4	131
following	1.3123	0.179	0.048	7	234
development	1.3052	0.154	0.042	6	202
scientific	1.2953	0.103	0.028	4	136
work	1.2917	0.205	0.056	8	273
court	1.2880	0.103	0.028	4	137
legal	1.2807	0.103	0.028	4	138
support	1.2664	0.128	0.036	5	175
within	1.2502	0.179	0.051	7	249
groups	1.2452	0.103	0.030	4	143
others	1.2382	0.128	0.037	5	180
against	1.1907	0.205	0.062	8	302
science	1.1429	0.128	0.041	5	198
force	1.1204	0.103	0.033	4	162
public	1.1081	0.128	0.042	5	205
national	1.0408	0.179	0.063	7	307
information	1.0151	0.154	0.056	6	270
four	0.9985	0.103	0.038	4	183
countries	0.9631	0.128	0.049	5	237
until	0.9340	0.128	0.050	5	244
country	0.8705	0.103	0.043	4	208
out	0.8677	0.179	0.075	7	365
year	0.8628	0.128	0.054	5	262
important	0.8144	0.103	0.045	4	220
among	0.8098	0.103	0.046	4	221
three	0.7999	0.128	0.058	5	279
those	0.7822	0.128	0.059	5	284
without	0.7743	0.103	0.047	4	229
about	0.7699	0.205	0.095	8	460
order	0.7527	0.103	0.048	4	234
group	0.6866	0.103	0.052	4	250
under	0.6786	0.154	0.078	6	378
general	0.6754	0.128	0.065	5	316
non	0.6707	0.103	0.052	4	254
government	0.6551	0.103	0.053	4	258
based	0.6321	0.128	0.068	5	330
international	0.6077	0.205	0.112	8	541
other	0.5713	0.385	0.217	15	1052
each	0.5562	0.128	0.074	5	356
all	0.5532	0.308	0.177	12	857
may	0.5485	0.205	0.119	8	574
use	0.4854	0.179	0.110	7	535
years	0.4727	0.128	0.080	5	387
world	0.4724	0.179	0.112	7	542
has	0.4308	0.359	0.233	14	1130
such	0.3933	0.256	0.173	10	838
its	0.3887	0.282	0.191	11	926
their	0.3855	0.282	0.192	11	929
both	0.3814	0.128	0.088	5	424
than	0.3093	0.179	0.132	7	638
these	0.3040	0.205	0.151	8	733
there	0.3040	0.205	0.151	8	733
between	0.3018	0.154	0.114	6	551
were	0.2742	0.256	0.195	10	944
see	0.2500	0.179	0.140	7	677
during	0.2241	0.103	0.082	4	397
will	0.2216	0.103	0.082	4	398
well	0.2166	0.103	0.083	4	400
any	0.1190	0.103	0.091	4	441
united	0.1140	0.128	0.114	5	554
also	0.1085	0.308	0.276	12	1337
two	0.0638	0.154	0.144	6	699
but	0.0634	0.231	0.217	9	1049
one	0.0553	0.205	0.194	8	940
number	0.0553	0.103	0.097	4	470
who	0.0460	0.128	0.122	5	593
many	0.0055	0.154	0.153	6	741

# Cluster 16 (n=68)
word	score	p_in	p_out	in_docs	out_docs
proudhon	4.9517	0.118	0.001	8	4
tucker	4.5467	0.118	0.001	8	6
liberty	3.6404	0.103	0.003	7	13
benjamin	3.3151	0.103	0.004	7	18
labor	3.1336	0.176	0.008	12	37
thing	3.0068	0.118	0.006	8	28
joseph	2.5779	0.118	0.009	8	43
johnson	2.4920	0.103	0.009	7	41
our	2.4008	0.176	0.016	12	77
behind	2.3989	0.103	0.009	7	45
property	2.3502	0.176	0.017	12	81
magazine	2.3344	0.103	0.010	7	48
you	2.1803	0.250	0.028	17	136
your	2.0312	0.103	0.014	7	65
say	1.8848	0.118	0.018	8	86
man	1.8618	0.132	0.021	9	99
individual	1.8374	0.162	0.026	11	124
him	1.7558	0.191	0.033	13	159
said	1.7142	0.118	0.021	8	102
intelligent	1.6623	0.103	0.020	7	94
what	1.6612	0.265	0.050	18	242
how	1.6448	0.176	0.034	12	164
god	1.6207	0.103	0.020	7	98
nature	1.5143	0.103	0.023	7	109
science	1.4924	0.176	0.040	12	191
men	1.4717	0.118	0.027	8	130
note	1.4703	0.162	0.037	11	179
themselves	1.4435	0.103	0.024	7	117
her	1.4397	0.132	0.031	9	151
little	1.4099	0.103	0.025	7	121
them	1.4039	0.265	0.065	18	313
never	1.3854	0.103	0.026	7	124
making	1.3694	0.103	0.026	7	126
take	1.3625	0.118	0.030	8	145
land	1.3536	0.103	0.027	7	128
theory	1.3494	0.162	0.042	11	202
value	1.3229	0.103	0.027	7	132
change	1.3153	0.103	0.028	7	133
movement	1.2712	0.103	0.029	7	139
without	1.2550	0.162	0.046	11	222
natural	1.2358	0.103	0.030	7	144
does	1.2152	0.162	0.048	11	231
will	1.1995	0.265	0.080	18	384
who	1.1687	0.382	0.119	26	572
according	1.1622	0.103	0.032	7	155
out	1.1574	0.235	0.074	16	356
society	1.1368	0.103	0.033	7	159
his	1.1042	0.441	0.146	30	704
design	1.0699	0.103	0.035	7	170
before	1.0679	0.176	0.061	12	292
mdash	1.0466	0.103	0.036	7	174
then	1.0359	0.235	0.084	16	402
any	1.0339	0.250	0.089	17	428
those	1.0300	0.162	0.058	11	278
others	1.0239	0.103	0.037	7	178
even	1.0196	0.191	0.069	13	332
way	1.0146	0.132	0.048	9	231
own	1.0059	0.132	0.048	9	233
people	1.0017	0.235	0.086	16	416
about	0.9815	0.250	0.094	17	451
now	0.9598	0.132	0.051	9	244
among	0.9593	0.118	0.045	8	217
they	0.9534	0.412	0.159	28	764
when	0.9040	0.309	0.125	21	602
like	0.8856	0.147	0.061	10	292
life	0.8633	0.103	0.043	7	209
all	0.8574	0.412	0.175	28	841
very	0.8475	0.132	0.057	9	273
but	0.7921	0.471	0.213	32	1026
would	0.7532	0.221	0.104	15	500
their	0.7389	0.397	0.190	27	913
work	0.7297	0.118	0.057	8	273
made	0.6735	0.147	0.075	10	361
state	0.6489	0.176	0.092	12	444
being	0.6408	0.147	0.077	10	373
against	0.6288	0.118	0.063	8	302
same	0.6048	0.132	0.072	9	348
well	0.5860	0.147	0.082	10	394
there	0.5667	0.265	0.150	18	723
one	0.5655	0.338	0.192	23	925
had	0.5527	0.221	0.127	15	611
only	0.5405	0.250	0.146	17	701
between	0.5258	0.191	0.113	13	544
years	0.5090	0.132	0.080	9	383
known	0.4779	0.147	0.091	10	439
has	0.4585	0.368	0.232	25	1119
can	0.4543	0.265	0.168	18	809
different	0.4499	0.103	0.066	7	316
both	0.4167	0.132	0.087	9	420
been	0.4084	0.250	0.166	17	800
while	0.3808	0.118	0.080	8	387
than	0.3758	0.191	0.131	13	632
because	0.3654	0.118	0.082	8	393
first	0.3531	0.221	0.155	15	746
see	0.3160	0.191	0.139	13	671
time	0.2964	0.162	0.120	11	579
some	0.2512	0.221	0.172	15	826
may	0.2132	0.147	0.119	10	572
use	0.1785	0.132	0.111	9	533
often	0.1631	0.103	0.087	7	421
such	0.0973	0.191	0.173	13	835
other	0.0749	0.235	0.218	16	1051
its	0.0712	0.206	0.192	14	923
into	0.0452	0.132	0.127	9	609
used	0.0323	0.162	0.157	11	754
two	0.0184	0.147	0.144	10	695

# Cluster 17 (n=111)
word	score	p_in	p_out	in_docs	out_docs
hokkaido	4.9230	0.144	0.001	16	5
southwest	3.9274	0.117	0.002	13	11
northwest	3.5373	0.108	0.003	12	15
zone	3.2810	0.117	0.004	13	21
isle	3.2599	0.180	0.007	20	33
lake	3.1038	0.126	0.006	14	27
tokyo	3.0266	0.108	0.005	12	25
miles	2.9497	0.108	0.006	12	27
island	2.8669	0.324	0.018	36	88
counties	2.8443	0.108	0.006	12	30
sea	2.7561	0.234	0.015	26	71
largest	2.6891	0.225	0.015	25	73
climate	2.6621	0.144	0.010	16	48
illinois	2.6621	0.117	0.008	13	39
season	2.6620	0.108	0.008	12	36
pacific	2.6257	0.162	0.012	18	56
ocean	2.5711	0.126	0.010	14	46
river	2.4350	0.153	0.013	17	64
area	2.4192	0.360	0.032	40	153
cities	2.3938	0.117	0.011	13	51
county	2.3436	0.144	0.014	16	66
north	2.3014	0.297	0.030	33	142
islands	2.1852	0.162	0.018	18	87
near	2.1513	0.171	0.020	19	95
region	2.1513	0.153	0.018	17	85
south	2.1396	0.306	0.036	34	172
indiana	2.1360	0.117	0.014	13	66
city	2.0691	0.252	0.032	28	152
land	2.0691	0.189	0.024	21	114
southern	2.0621	0.135	0.017	15	82
west	1.9123	0.180	0.027	20	127
northern	1.9084	0.144	0.021	16	102
population	1.8610	0.171	0.027	19	127
japan	1.7953	0.261	0.043	29	207
central	1.7779	0.171	0.029	19	138
water	1.7554	0.126	0.022	14	104
east	1.7364	0.189	0.033	21	159
along	1.5983	0.117	0.024	13	113
000	1.5635	0.171	0.036	19	171
high	1.5316	0.216	0.047	24	223
home	1.4872	0.126	0.029	14	136
major	1.4495	0.207	0.049	23	232
areas	1.4429	0.117	0.028	13	132
local	1.3781	0.108	0.027	12	130
natural	1.3112	0.108	0.029	12	139
main	1.2905	0.207	0.057	23	272
large	1.2287	0.171	0.050	19	239
long	1.1516	0.153	0.048	17	231
state	1.1075	0.270	0.089	30	426
include	1.0108	0.126	0.046	14	219
small	0.9749	0.126	0.048	14	227
year	0.9394	0.135	0.053	15	252
around	0.9325	0.108	0.043	12	203
university	0.9276	0.117	0.046	13	221
including	0.9146	0.162	0.065	18	310
image	0.9088	0.252	0.102	28	485
national	0.9003	0.153	0.062	17	297
part	0.8704	0.171	0.072	19	342
due	0.8658	0.108	0.045	12	217
over	0.7492	0.225	0.106	25	508
known	0.6951	0.180	0.090	20	429
through	0.6007	0.126	0.069	14	330
name	0.5859	0.117	0.065	13	311
well	0.5724	0.144	0.081	16	388
has	0.5419	0.396	0.231	44	1100
about	0.4825	0.153	0.095	17	451
its	0.4814	0.306	0.189	34	903
between	0.4705	0.180	0.113	20	537
many	0.4382	0.234	0.151	26	721
also	0.4170	0.414	0.273	46	1303
two	0.3712	0.207	0.143	23	682
world	0.2548	0.144	0.112	16	533
most	0.2179	0.207	0.167	23	795
people	0.2054	0.108	0.088	12	420
into	0.1954	0.153	0.126	17	601
there	0.1759	0.180	0.151	20	721
these	0.1759	0.180	0.151	20	721
only	0.1556	0.171	0.147	19	699
than	0.1515	0.153	0.132	17	628
time	0.1145	0.135	0.121	15	575
united	0.0231	0.117	0.114	13	546

# Cluster 18 (n=40)
word	score	p_in	p_out	in_docs	out_docs
rang	6.8708	0.200	0.000	8	1
psi	6.5831	0.150	0.000	6	1
mathrm	5.8924	0.150	0.000	6	2
equiv	5.7101	0.125	0.000	5	2
sqrt	5.6419	0.175	0.001	7	3
prod	5.6419	0.175	0.001	7	3
wavefunction	5.4869	0.100	0.000	4	2
cdots	5.4146	0.325	0.001	13	7
langle	5.3054	0.125	0.001	5	3
rangle	5.3054	0.125	0.001	5	3
mbox	5.3054	0.125	0.001	5	3
infty	5.2011	0.300	0.002	12	8
antisymmetric	5.1317	0.175	0.001	7	5
ldots	5.0823	0.100	0.001	4	3
frac	4.9584	0.500	0.004	20	17
dots	4.7950	0.100	0.001	4	4
symmetric	4.6414	0.150	0.001	6	7
discrete	4.5079	0.150	0.002	6	8
phi	4.3899	0.100	0.001	4	6
log	4.3540	0.225	0.003	9	14
sum	4.3036	0.550	0.007	22	36
probability	4.3035	0.275	0.004	11	18
lang	4.2079	0.125	0.002	5	9
math	4.1030	1.000	0.017	40	80
vectors	4.1025	0.100	0.002	4	8
entropy	4.0422	0.200	0.004	8	17
particle	3.9631	0.250	0.005	10	23
matrix	3.6972	0.100	0.002	4	12
shannon	3.6972	0.100	0.002	4	12
symmetry	3.5431	0.100	0.003	4	14
particles	3.4743	0.200	0.006	8	30
constant	3.4669	0.225	0.007	9	34
minus	3.3790	0.200	0.007	8	33
distribution	3.2920	0.200	0.007	8	36
continuous	3.2920	0.150	0.006	6	27
linear	3.2378	0.100	0.004	4	19
inner	3.1866	0.150	0.006	6	30
theorem	3.1096	0.125	0.006	5	27
measurement	3.1096	0.125	0.006	5	27
sub	3.0997	0.550	0.025	22	120
int	3.0254	0.200	0.010	8	47
product	2.9916	0.325	0.016	13	79
quantum	2.9634	0.100	0.005	4	25
multi	2.9398	0.125	0.007	5	32
chosen	2.8150	0.100	0.006	4	29
positive	2.6920	0.125	0.008	5	41
limit	2.6213	0.125	0.009	5	44
sequence	2.5805	0.150	0.011	6	55
integral	2.5188	0.100	0.008	4	39
representation	2.4447	0.100	0.009	4	42
function	2.4135	0.300	0.027	12	130
values	2.3451	0.125	0.012	5	58
infinite	2.3112	0.100	0.010	4	48
measure	2.3112	0.100	0.010	4	48
event	2.2906	0.100	0.010	4	49
mean	2.1751	0.100	0.011	4	55
numbers	2.1643	0.250	0.029	10	139
equal	2.1049	0.100	0.012	4	59
definition	2.0881	0.125	0.015	5	75
functions	2.0361	0.125	0.016	5	79
note	1.9058	0.250	0.037	10	180
single	1.8694	0.225	0.035	9	168
value	1.8593	0.175	0.027	7	132
above	1.7359	0.150	0.026	6	128
space	1.6995	0.200	0.037	8	177
times	1.6286	0.200	0.039	8	190
simply	1.6181	0.100	0.020	4	96
total	1.5096	0.100	0.022	4	107
defined	1.4358	0.125	0.030	5	144
then	1.4338	0.350	0.083	14	404
once	1.3867	0.100	0.025	4	121
case	1.3515	0.150	0.039	6	188
result	1.3304	0.150	0.040	6	192
real	1.3227	0.100	0.027	4	129
terms	1.2997	0.100	0.027	4	132
where	1.2797	0.300	0.083	12	404
possible	1.2757	0.125	0.035	5	169
series	1.2408	0.125	0.036	5	175
each	1.2380	0.250	0.072	10	351
given	1.2071	0.125	0.037	5	181
can	1.1486	0.525	0.166	21	806
state	1.0960	0.275	0.092	11	445
form	1.0931	0.175	0.059	7	284
over	1.0254	0.300	0.108	12	521
means	0.9951	0.100	0.037	4	179
number	0.9589	0.250	0.096	10	464
following	0.9418	0.125	0.049	5	236
general	0.8354	0.150	0.065	6	315
way	0.7187	0.100	0.049	4	236
set	0.6295	0.100	0.053	4	258
will	0.6065	0.150	0.082	6	396
same	0.5420	0.125	0.073	5	352
called	0.5382	0.150	0.088	6	424
any	0.5035	0.150	0.091	6	439
two	0.4481	0.225	0.144	9	696
because	0.4242	0.125	0.082	5	396
states	0.3947	0.175	0.118	7	571
system	0.3895	0.150	0.102	6	492
all	0.3430	0.250	0.177	10	859
known	0.3098	0.125	0.092	5	444
out	0.2744	0.100	0.076	4	368
since	0.1860	0.100	0.083	4	402
these	0.1436	0.175	0.152	7	734
only	0.0199	0.150	0.147	6	712

# Cluster 19 (n=74)
word	score	p_in	p_out	in_docs	out_docs
ionization	11.7087	0.122	0.000	9	0
isotopes	5.5579	0.108	0.000	8	2
electrons	5.3764	0.135	0.001	10	3
glacial	4.6430	0.108	0.001	8	5
ions	4.3558	0.162	0.002	12	10
hydrogen	4.2912	0.122	0.002	9	8
ionosphere	4.2912	0.122	0.002	9	8
atoms	4.0066	0.149	0.003	11	13
atom	3.8859	0.122	0.002	9	12
frequencies	3.8859	0.122	0.002	9	12
solar	3.7430	0.176	0.004	13	20
periods	3.5319	0.135	0.004	10	19
molecules	3.4199	0.108	0.004	8	17
spacecraft	3.4199	0.108	0.004	8	17
molecule	3.3628	0.108	0.004	8	18
frequency	3.2423	0.176	0.007	13	33
earth	3.1494	0.378	0.016	28	78
target	3.1177	0.108	0.005	8	23
ion	3.1034	0.162	0.007	12	35
atmosphere	3.0752	0.108	0.005	8	24
energy	2.9467	0.230	0.012	17	58
radiation	2.8746	0.122	0.007	9	33
molecular	2.8521	0.108	0.006	8	30
temperature	2.7876	0.135	0.008	10	40
layer	2.7186	0.189	0.012	14	60
relative	2.6822	0.122	0.008	9	40
sun	2.6263	0.135	0.010	10	47
chemical	2.6233	0.189	0.014	14	66
ice	2.6117	0.176	0.013	13	62
approximately	2.5644	0.108	0.008	8	40
surface	2.5317	0.162	0.013	12	62
mass	2.4103	0.162	0.015	12	70
effect	2.3926	0.216	0.020	16	95
sup	2.3176	0.203	0.020	15	96
amount	2.2813	0.149	0.015	11	73
radio	2.2424	0.135	0.014	10	69
sub	2.1102	0.216	0.026	16	126
lower	2.0106	0.135	0.018	10	87
changes	1.9879	0.135	0.019	10	89
enough	1.9096	0.108	0.016	8	77
structure	1.8279	0.122	0.020	9	94
bond	1.8279	0.122	0.020	9	94
associated	1.8107	0.108	0.018	8	85
near	1.7172	0.122	0.022	9	105
change	1.7120	0.149	0.027	11	129
water	1.6798	0.122	0.023	9	109
million	1.5994	0.108	0.022	8	105
current	1.5837	0.162	0.033	12	160
uses	1.4743	0.108	0.025	8	119
thus	1.4707	0.189	0.043	14	209
different	1.4560	0.270	0.063	20	303
required	1.3706	0.108	0.027	8	132
present	1.3407	0.108	0.028	8	136
type	1.3117	0.108	0.029	8	140
high	1.2836	0.176	0.049	13	234
due	1.2790	0.162	0.045	12	217
similar	1.2671	0.135	0.038	10	183
few	1.2562	0.108	0.031	8	148
less	1.2488	0.149	0.043	11	205
will	1.2243	0.270	0.079	20	382
force	1.1908	0.108	0.033	8	158
000	1.1727	0.122	0.038	9	181
around	1.1535	0.135	0.043	10	205
form	1.1113	0.176	0.058	13	278
between	1.0735	0.324	0.111	24	533
given	1.0716	0.108	0.037	8	178
within	1.0706	0.149	0.051	11	245
because	1.0565	0.230	0.080	17	384
same	1.0472	0.203	0.071	15	342
each	1.0356	0.203	0.072	15	346
can	1.0245	0.459	0.165	34	793
result	1.0064	0.108	0.040	8	190
last	0.9551	0.122	0.047	9	225
much	0.9406	0.149	0.058	11	279
during	0.9262	0.203	0.080	15	386
small	0.9244	0.122	0.048	9	232
than	0.9207	0.324	0.129	24	621
years	0.8781	0.189	0.079	14	378
another	0.8067	0.135	0.060	10	290
very	0.7617	0.122	0.057	9	273
second	0.7603	0.108	0.051	8	243
example	0.7550	0.176	0.083	13	397
using	0.7319	0.108	0.052	8	250
large	0.7319	0.108	0.052	8	250
when	0.7148	0.257	0.126	19	604
image	0.6714	0.203	0.104	15	498
where	0.6575	0.162	0.084	12	404
about	0.6186	0.176	0.095	13	455
would	0.5964	0.189	0.104	14	501
out	0.5849	0.135	0.075	10	362
system	0.5548	0.176	0.101	13	485
even	0.5541	0.122	0.070	9	336
more	0.4876	0.270	0.166	20	798
most	0.4876	0.270	0.166	20	798
over	0.4851	0.176	0.108	13	520
two	0.4734	0.230	0.143	17	688
time	0.4569	0.189	0.120	14	576
only	0.4547	0.230	0.146	17	701
such	0.4507	0.270	0.172	20	828
called	0.4363	0.135	0.087	10	420
through	0.4363	0.108	0.070	8	336
these	0.4224	0.230	0.151	17	724
however	0.4178	0.189	0.125	14	599
while	0.4154	0.122	0.080	9	386
into	0.4095	0.189	0.126	14	604
known	0.3921	0.135	0.091	10	439
but	0.3673	0.311	0.215	23	1035
both	0.3309	0.122	0.087	9	420
other	0.3132	0.297	0.217	22	1045
there	0.2945	0.203	0.151	15	726
has	0.2875	0.311	0.233	23	1121
they	0.2266	0.203	0.162	15	777
any	0.1735	0.108	0.091	8	437
some	0.1654	0.203	0.172	15	826
used	0.1162	0.176	0.156	13	752
one	0.1092	0.216	0.194	16	932
number	0.1092	0.108	0.097	8	466
its	0.0555	0.203	0.192	15	922
also	0.0271	0.284	0.276	21	1328

# Cluster 20 (n=200)
word	score	p_in	p_out	in_docs	out_docs
muscle	3.9512	0.100	0.002	20	9
proteins	3.9512	0.100	0.002	20	9
insects	3.8459	0.100	0.002	20	10
cells	3.7627	0.230	0.005	46	25
